block,g_val
0,13.602335466486595
1,12.625311038408492
2,12.325992035670296
3,11.034417577065827
4,10.609068820870188
5,10.458828602020805
6,10.388945969745746
7,10.367796486400724
8,10.363169940500908
9,10.371052315883993
10,10.403158057077077
11,10.43577869684025
12,10.468928212052814
13,10.502621193016735
14,10.536872879582909
15,10.571699199981781
16,10.607116812604868
17,10.643143151010378
18,10.679796472456076
19,10.717095910296344
20,10.755061530618557
21,10.793714393537067
22,10.833076619611969
23,10.873171461915657
24,10.914023384333262
25,10.955658146755376
26,10.99810289790416
27,11.041386276628419
28,11.085538522612067
29,11.130591597565509
30,11.176579318114067
31,11.223537501764845
32,11.271504127527455
33,11.320519512990263
34,11.370517478029331
35,11.42153957227857
36,11.473627224916992
37,11.5268258937698
38,11.581184009096887
39,11.636753238531687
40,11.693588782210332
41,11.75174970231831
42,11.811299291985842
43,11.87230548930825
44,11.934841343281578
45,11.998985539666752
46,12.064822996276513
47,12.132445538982116
48,12.201952671941278
49,12.27345245825938
50,12.347062530646612
51,12.422911255800086
52,12.501139081452273
53,12.581900101590303
54,12.66536388367248
55,12.751717612295776
56,12.841168617448014
57,12.933947373231538
58,13.03031107619058
59,13.130547943100682
60,13.234982409104882
61,13.343981462470428
62,13.457962427899979
63,13.577402615005584
64,13.702851395423036
65,13.834945481214005
66,13.974428480122219
67,14.122176249983397
68,14.279230246829954
69,14.44684209571925
70,14.626534245611492
71,14.820184218843718
72,15.030144405268338
73,15.25941706865935
74,15.511918230868076
75,15.792890784839122
76,16.109581171139865
77,16.47241131696656
78,16.89715662752329
79,17.409385555277805
80,18.05473690198459
81,18.93623009561616
82,19.84871714692153
83,20.965146419302926
84,22.807874627645628
85,24.45996072961872
86,25.736784114197143
87,26.68306149548519
88,27.26881634448831
89,27.691426236542778
90,28.03435638256108
91,28.350806641039565
92,28.681130032504957
93,29.02658776118564
94,29.38861932112924
95,29.768877305192827
96,30.169270996495776
97,30.59202148062123
98,31.0397320347725
99,31.51547900310455
100,32.02293045874705
101,32.56650297837511
102,33.151571226091775
103,33.784751266982795
104,34.47428700339727
105,35.23057925735395
106,36.066904047369825
107,37.00035048554135
108,38.052895347590294
109,39.2520560365877
110,40.62880439553111
111,42.2045370839818
112,43.945216839381686
113,45.68595299168021
114,47.41480068943284
